ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Ozimops ridei,Eastern Freetail Bat,ALA,11839,urn:lsid:biodiversity.org.au:afd.taxon:03f7ddd9-2455-4011-9fcc-7e28dfe22d3f,Ozimops ridei,Eastern Freetail Bat,Base,573,Mammal,Mammals,Microbats,3138,0.1,3,17,0.5%,2390,76.2%,1,0.04%,4,19,23,0,1,OKAY,"> 10,000",Widespread,None,down,High +,Both,,6,40,40,80.0,3359,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,No,No,Allozyme,Yes,Yes,Phylogeny,1,,,,,,,Unknown,Uncertain,Not likely,Habitat loss,Uncertain,Uncertain,Low,Medium,,Mormopterus sp. 2,,Mormopterus sp. 2,,,,,,,,,,,,,,,,,,,,
Perameles gunnii,Eastern Barred Bandicoot,ALA,11098,urn:lsid:biodiversity.org.au:afd.taxon:241463eb-b202-4095-9eea-2bcbfc7f999b,Perameles gunnii,Eastern Barred Bandicoot,Base,574,Mammal,Mammals,Bandicoots,3802,0.1,3,1106,29.1%,983,25.9%,180,18.31%,3,13,7,0,1,EW,"> 10,000",Minor in Vic,Recent,rapid,Very Low,Both,,5,1,1,2.0,18180,Habitat,Generic,No guild,,,Land,Sexual,< 1 yr,brief,,r,Yes,Yes,No,None,No,Yes,Useful,9,Moderate,Some pops,Low,Moderate,,Extensive,Possible,High,Medium,Multiple,Uncertain,Yes,Low,Secondary,,,,,,,,,,,,,,,,,,EW,VU,Listed,,,,
Perameles nasuta,Southern Long-nosed Bandicoot,ALA,11097,urn:lsid:biodiversity.org.au:afd.taxon:a72e7e4b-96c4-4967-be05-f93e8f4102d3,Perameles nasuta,Southern Long-nosed Bandicoot,Base,575,Mammal,Mammals,Bandicoots,26639,0.1,3,3022,11.3%,9483,35.6%,1957,20.64%,5,22,33,0,1,OKAY,"> 10,000",Widespread,Both,rapid,Very Low,Both,,5,1,1,2.0,65925,Habitat,Generic,No guild,,,Land,Sexual,< 1 yr,brief,,r,No,Yes,No,None,No,Yes,Limited,4,Little,Some pops,High,Normal,Sample bias,Limited,Possible,Redundant,High,Multiple,Yes,Yes,Not Expected,Low,,,,,Long-nosed Bandicoot,,,,,,,,,,,,,,,,,,,
Petauroides volans,Southern Greater Glider,ALA,11133,urn:lsid:biodiversity.org.au:afd.taxon:7e891f26-c72e-4b29-98db-1cd10c4eaa6d,Petauroides volans,Southern Greater Glider,Base,576,Mammal,Mammals,Gliders,28925,0.1,3,6736,23.3%,21136,73.1%,5121,24.23%,4,19,30,2,3,VU,"> 10,000",Widespread,Recent,rapid,Very Low,Both,,5,1,1,2.0,116493,Habitat,Species,No guild,,,Veg cover,Sexual,6 - 10 yr,mid,,K,No,Yes,No,None,No,Yes,Useful,5,Moderate,Low,Varies,Normal,Sample bias,Reasonable,Possible,High,High,Habitat loss,Yes,Yes,Not Expected,Secondary,,"Petaurus niger, Phalanger volans, Phalangista volans, Schoinobates volans",volans,,Greater Glider,,,,,,,,,,,,,VU,VU,Listed,,,,
Petaurus australis,Yellow-bellied Glider,ALA,11136,urn:lsid:biodiversity.org.au:afd.taxon:b3a61169-1e3c-4d6e-904f-f4d643df13a6,Petaurus australis,Yellow-bellied Glider,Base,577,Mammal,Mammals,Gliders,21547,0.1,3,6946,32.2%,16314,75.7%,3978,24.38%,5,16,23,0,1,OKAY,"> 10,000",Widespread,Recent,rapid,Medium,Both,,5,10,10,20.0,111845,Habitat,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Limited,6,Moderate,Data def,Data def,Data def,Few samples,Limited,Possible,Medium,Uncertain,Habitat loss,Yes,Yes,Not Expected,Secondary,,,,,,,,,,,,,,,,,,,,,,,,
Petaurus breviceps,Sugar Glider,ALA,11138,urn:lsid:biodiversity.org.au:afd.taxon:284a0855-14f4-4da8-9fdc-b53009b65796,Petaurus breviceps,Sugar Glider,Base,578,Mammal,Mammals,Gliders,30860,0.1,3,8853,28.7%,21537,69.8%,5976,27.75%,8,52,44,3,4,OKAY,"> 10,000",Widespread,Recent,okay,Medium,Both,,5,10,10,20.0,145949,Habitat,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Useful,19,Moderate,Low,Moderate,Varies,,Reasonable,Possible,Uncertain,Uncertain,Habitat loss,Uncertain,Uncertain,Not Expected,Medium,**,,,,,,,,,,,,,,,,,,,,,,,
Petaurus norfolcensis,Squirrel Glider,ALA,11137,urn:lsid:biodiversity.org.au:afd.taxon:1b653e0c-0875-4751-8a68-f608891b4912,Petaurus norfolcensis,Squirrel Glider,Base,579,Mammal,Mammals,Gliders,7447,0.1,3,1104,14.8%,5177,69.5%,458,8.85%,4,24,30,0,1,EN,"> 10,000",Widespread,Recent,down,Medium,Both,,5,10,10,20.0,21799,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Useful,14,Moderate,Low,Varies,Varies,,Extensive,Possible,Medium,Medium,Habitat loss,Uncertain,Yes,Not Expected,Secondary,***,,,,,,,,,,,,,,,,,EN,,Listed,,,,
Petrogale penicillata,Brush-tailed Rock-wallaby,ALA,11215,urn:lsid:biodiversity.org.au:afd.taxon:7a7a2817-26e7-44bd-bb34-1dc9c1ed4d38,Petrogale penicillata,Brush-tailed Rock-wallaby,Base,580,Mammal,Mammals,Macropods,5377,0.1,3,280,5.2%,1956,36.4%,137,7.00%,4,15,22,1,2,CR,"> 10,000",Minor in Vic,Both,rapid,Modest,Both,,5,4,4,8.0,9017,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,Other,No,Yes,Useful,41,Moderate,High,Low,High,,Extensive,Yes,High,Medium,Multiple,Yes,Yes,Chromosomal,Medium,**,,,,Brush-tailed Rock Wallaby,,,,,,,,,,,,,CR,VU,Listed,,,,
Phascogale tapoatafa,Brush-tailed Phascogale,ALA,11017,urn:lsid:biodiversity.org.au:afd.taxon:b6930f29-3f26-415e-a760-c12c320c2931,Phascogale tapoatafa,Brush-tailed Phascogale,Base,581,Mammal,Mammals,Dasyurids,6267,0.1,3,3744,59.7%,3077,49.1%,1660,53.95%,6,26,29,1,3,VU,"> 10,000",Widespread,Both,down,Medium,Both,,5,10,10,20.0,54939,Habitat,Species,No guild,,,Veg cover,Sexual,Annual,brief,,r,Yes,No,No,None,No,Yes,Limited,3,Little,Low,Varies,High,,Extensive,Possible,High,Medium,Habitat loss,Yes,Uncertain,Not Expected,Medium,***,,tapoatafa,,Tuan,,,,,,,,,,,,,VU,,Listed,,,,
Phascolarctos cinereus,Koala,ALA,11162,urn:lsid:biodiversity.org.au:afd.taxon:e9d6fbbd-1505-4073-990a-dc66c930dad6,Phascolarctos cinereus,Koala,Base,582,Mammal,Mammals,Koala,119429,0.1,3,12799,10.7%,75722,63.4%,6217,8.21%,8,35,45,3,4,OKAY,"> 10,000",Widespread,Both,okay,Modest,Both,,4,4,4,8.0,285816,Habitat,Generic,No guild,,,Land,Sexual,6 - 10 yr,mid,,K,Yes,Yes,Yes,Genomic,No,Yes,Useful,157,Moderate,Some pops,Varies,Varies,,Reasonable,Unknown,Medium,Not likely,Multiple,Yes,Yes,Not Expected,Medium,*,,,,,,,,,,,,,,,,,,,,,,,
Planigale gilesi,Giles Planigale,ALA,11050,urn:lsid:biodiversity.org.au:afd.taxon:3337f2db-ec0d-4350-a9a2-a0ce777d82fc,Planigale gilesi,Gile's Planigale,Base,583,Mammal,Mammals,Dasyurids,856,0.1,3,52,6.1%,355,41.5%,29,8.17%,5,12,9,0,1,NT,"> 10,000",Widespread,Both,unsure,Very Low,Both,,5,1,1,2.0,1532,Habitat,Species,No guild,,,Land,Sexual,< 1 yr,brief,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,,,Paucident Planigale,,,,,,,,,,,,,NT,,Listed,,,,
Potorous longipes,Long-footed Potoroo,ALA,11179,urn:lsid:biodiversity.org.au:afd.taxon:1e94a0cb-f71e-472f-9d04-20cbe393fae2,Potorous longipes,Long-footed Potoroo,Base,584,Mammal,Mammals,Macropods,1590,0.1,3,1473,92.6%,1263,79.4%,1194,94.54%,2,4,5,0,1,VU,500 to 2K,Most in Vic,Recent,rapid,Medium,Both,,5,10,10,20.0,20739,Habitat,Species,No guild,,,Veg cover,Sexual,6 - 10 yr,mid,,K,No,Yes,No,None,No,Yes,Markers,2,,,,,,,Unknown,Uncertain,Not likely,Fire,No,Yes,Not Expected,Secondary,,,,,,,,,,,,,,,,,,VU,EN,Listed,,,,
Potorous tridactylus,Long-nosed Potoroo,ALA,11175,urn:lsid:biodiversity.org.au:afd.taxon:9cfa649c-4377-48c1-8d4d-b66ec13ad0fb,Potorous tridactylus trisulcatus,Long-nosed Potoroo,Base,585,Mammal,Mammals,Macropods,8916,0.1,3,2572,28.8%,2804,31.4%,943,33.63%,8,27,26,2,3,NT,"> 10,000",Widespread,Both,rapid,Minimal,Both,,5,0.4,0.4,0.8,42352,Habitat,Limited,No guild,,,Land,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Useful,6,High,Some pops,Varies,Varies,,Extensive,Possible,High,Medium,Multiple,Yes,Yes,Not Expected,Primary,,Potorous tridactylus tridactylus,trisulcatus,,,,,,,,,,,,,,,NT,VU,Listed,,,,
Pseudocheirus peregrinus,Common Ringtail Possum,ALA,11129,urn:lsid:biodiversity.org.au:afd.taxon:003decd6-ec3d-468e-909d-da396a6dd1f6,Pseudocheirus peregrinus,Eastern Ring-tailed Possum,Base,586,Mammal,Mammals,Possums,66241,0.1,3,14206,21.4%,37588,56.7%,9190,24.45%,8,40,45,4,5,OKAY,"> 10,000",Widespread,Both,okay,Medium,Both,,5,10,10,20.0,250919,Distance,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,Yes,No,None,No,Yes,Useful,8,Moderate,Some pops,Varies,Data def,,Reasonable,Unknown,Redundant,Not likely,Multiple,Uncertain,Uncertain,Not Expected,Medium,*,,,,,,,,,,,,,,,,,,,,,,,
Pseudomys apodemoides,Silky Mouse,ALA,11457,urn:lsid:biodiversity.org.au:afd.taxon:812a70cf-c76d-4beb-ac56-3b8c4d7c009c,Pseudomys apodemoides,Silky Mouse,Base,587,Mammal,Mammals,Rodents,3341,0.1,3,1179,35.3%,594,17.8%,319,53.70%,3,5,6,0,1,NT,Unknown,Vic + 1 state,Recent,down,Medium,Both,,5,10,10,20.0,18668,Habitat,Species,No guild,,,Land,Sexual,Annual,brief,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Fire,Uncertain,Uncertain,Not Expected,Primary,,,,,,,,,,,,,,,,,,NT,,,,,,
Pseudomys fumeus,Smoky Mouse,ALA,11458,urn:lsid:biodiversity.org.au:afd.taxon:c8ba3449-d6f3-405a-9c8a-7b4db471c52a,Pseudomys fumeus,Smoky Mouse,Base,588,Mammal,Mammals,Rodents,812,0.1,3,538,66.3%,381,46.9%,224,58.79%,3,6,12,0,1,EN,2K to 10K,Most in Vic,Recent,down,Modest,Both,,5,4,4,8.0,7806,Habitat,Species,No guild,,,Land,Sexual,Annual,brief,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Not Expected,Primary,,,,Konoom,,,,,,,,,,,,,,EN,EN,Listed,,,,
Pseudomys novaehollandiae,New Holland Mouse,ALA,11455,urn:lsid:biodiversity.org.au:afd.taxon:47a50ee8-7678-4d8e-8f8a-e11d12a46ec5,Pseudomys novaehollandiae,New Holland Mouse,Base,589,Mammal,Mammals,Rodents,2415,0.1,3,754,31.2%,806,33.4%,286,35.48%,4,10,14,0,1,VU,2K to 10K,Minor in Vic,Both,rapid,Minimal,Both,,5,0.4,0.4,0.8,12217,Habitat,Species,No guild,,,Veg cover,Sexual,Annual,brief,,r,No,Yes,No,None,No,Yes,Useful,0,Moderate,Low,High,Normal,,Reasonable,Possible,Uncertain,High,Multiple,No,Uncertain,Not Expected,Secondary,*,,,,,,,,,,,,,,,,,VU,VU,Listed,,,,
Pseudomys shortridgei,Heath Rat,ALA,11468,urn:lsid:biodiversity.org.au:afd.taxon:d89bc96a-f1d4-4e86-8e6a-85a1648771ec,Pseudomys shortridgei,Heath Mouse,Base,590,Mammal,Mammals,Rodents,1060,0.1,3,1009,95.2%,408,38.5%,352,86.28%,3,7,7,0,1,VU,2K to 10K,Most in Vic,Both,rapid,Very Low,Both,,5,1,1,2.0,14177,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,Yes,No,None,No,Yes,Limited,2,Data def,Data def,High,Data def,Few samples,Limited,Unknown,Redundant,Uncertain,Fire,No,Uncertain,Not Expected,Medium,,,,,,,,,,,,,,,,,,NT,EN,Listed,,,,
Pteropus poliocephalus,Grey-headed Flying-fox,ALA,11280,urn:lsid:biodiversity.org.au:afd.taxon:7065d246-3017-4768-9c8f-8c58c0e538c1,Pteropus poliocephalus,Grey-headed Flying-fox,Base,591,Mammal,Mammals,Flying Fox,56374,0.1,3,6329,11.2%,31379,55.7%,4371,13.93%,7,30,35,0,1,VU,"> 10,000",Widespread,None,rapid,Extensive,Both,,6,100,100,200.0,138651,Distance,Species,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,Allozyme,Yes,Yes,Limited,18,Little,Low,Data def,Normal,,,Unknown,Redundant,Not likely,Warming,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,VU,VU,Listed,,,,
Pteropus scapulatus,Little Red Flying-fox,ALA,11281,urn:lsid:biodiversity.org.au:afd.taxon:f8712e3e-3cdb-4d40-aebf-52fcd9cf75c7,Pteropus scapulatus,Little Red Flying-fox,Base,592,Mammal,Mammals,Flying Fox,4106,0.1,3,197,4.8%,2063,50.2%,90,4.36%,7,54,48,0,1,OKAY,"> 10,000",Minor in Vic,None,okay,Extensive,Both,,6,100,100,200.0,6667,Distance,Generic,No guild,,,Flight,Sexual,6 - 10 yr,mid,,K,No,No,No,Allozyme,Yes,Yes,Useful,13,Little,Low,Data def,Normal,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Rattus fuscipes,Bush Rat,ALA,11395,urn:lsid:biodiversity.org.au:afd.taxon:96e81ce0-ba02-4f33-b831-b598eece44a7,Rattus fuscipes,Bush Rat,Base,593,Mammal,Mammals,Rodents,88750,0.1,3,28516,32.1%,21879,24.7%,8263,37.77%,6,35,42,4,5,OKAY,"> 10,000",Widespread,Recent,okay,Minimal,Both,,5,0.4,0.4,0.8,459458,Habitat,Generic,No guild,,,Land,Sexual,< 1 yr,brief,,r,No,Yes,No,None,No,Yes,Useful,28,High,Some pops,Varies,Varies,,Extensive,Possible,Low,Medium,Habitat loss,Yes,Yes,Low,Low,,"Rattus fuscipes greyi, Rattus fuscipes assimilis","greyi, assimilis",,,,,,,,,,,,,,,,,,,,,
Rattus lutreolus,Swamp Rat,ALA,11398,urn:lsid:biodiversity.org.au:afd.taxon:a2923e80-ee6c-49a2-b923-8e4905f4d174,Rattus lutreolus,Swamp Rat,Base,594,Mammal,Mammals,Rodents,13308,0.1,3,5664,42.6%,5458,41.0%,2351,43.07%,6,31,35,3,4,OKAY,"> 10,000",Widespread,Both,down,Very Low,Both,,5,1,1,2.0,86940,Habitat,Generic,No guild,,,Veg cover,Sexual,Annual,brief,,K,No,Yes,No,None,No,Yes,Useful,2,Moderate,Data def,High,Data def,,Reasonable,Unknown,Redundant,Uncertain,Fire,Uncertain,Uncertain,Not Expected,Medium,*,Rattus lutreolus lutreolus,,,,,,,,,,,,,,,,,,,,,,
Rhinolophus megaphyllus,Eastern Horseshoe Bat,ALA,11303,urn:lsid:biodiversity.org.au:afd.taxon:74f22bcc-bde2-497c-a8b1-c3946f984c66,Rhinolophus megaphyllus megaphyllus,Eastern Horseshoe Bat,Base,595,Mammal,Mammals,Microbats,5545,0.1,3,718,12.9%,3224,58.1%,111,3.44%,4,20,26,2,3,VU,"> 10,000",Minor in Vic,Recent,rapid,High +,Both,,6,40,40,80.0,14879,Distance,Limited,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Not likely,Not expected,Uncertain,Uncertain,Low,Medium,,,megaphyllus,Smaller Horseshoe Bat,,,,,,,,,,,,,,VU,,Listed,,,,
Saccolaimus flaviventris,Yellow-bellied Sheathtail Bat,ALA,11321,urn:lsid:biodiversity.org.au:afd.taxon:d45a3f9e-b8a7-4b96-bc02-a840e67737a4,Saccolaimus flaviventris,Yellow-bellied Sheathtail Bat,Base,596,Mammal,Mammals,Microbats,3903,0.1,3,164,4.2%,2149,55.1%,46,2.14%,7,56,35,0,1,DD,"> 10,000",Widespread,None,unsure,Extensive,Both,,6,100,100,200.0,6035,Distance,Species,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,3,,,,,,,Unknown,Redundant,High,Multiple,Uncertain,Uncertain,Not Expected,Low,,"Taphazous hargravei, Taphozous insignis",,,,,,,,,,,,,,,,DD,,Listed,,,,
Scotorepens balstoni,Inland Broad-nosed Bat,ALA,11364,urn:lsid:biodiversity.org.au:afd.taxon:8a629da9-0f2a-4ef5-b131-0b139699ac6f,Scotorepens balstoni,Inland Broad-nosed Bat,Base,597,Mammal,Mammals,Microbats,4302,0.1,3,695,16.2%,2187,50.8%,198,9.05%,6,56,43,0,1,OKAY,"> 10,000",Widespread,None,down,High +,Both,,6,40,40,80.0,13337,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Uncertain,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Scotorepens greyii,Little Broad-nosed Bat,ALA,11362,urn:lsid:biodiversity.org.au:afd.taxon:38e07e93-753a-4c04-840f-d56fddd4ab36,Scotorepens greyii,Little Broad-nosed Bat,Base,598,Mammal,Mammals,Microbats,4143,0.1,3,33,0.8%,2019,48.7%,5,0.25%,6,51,28,0,1,NT,"> 10,000",Minor in Vic,None,okay,Extensive,Both,,6,100,100,200.0,4572,Distance,Species,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,NT,,,,,,
Scotorepens orion,Eastern Broad-nosed Bat,ALA,11811,urn:lsid:biodiversity.org.au:afd.taxon:372a2ddf-dcb9-4eda-bef1-bfcd773a700e,Scotorepens orion,Eastern Broad-nosed Bat,Base,599,Mammal,Mammals,Microbats,2953,0.1,3,214,7.2%,2116,71.7%,114,5.39%,4,16,21,0,1,OKAY,"> 10,000",Minor in Vic,None,rapid,High +,Both,,6,40,40,80.0,5735,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Uncertain,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,"Scoteinus orion, Nycticeius balstoni orion",,,,,,,,,,,,,,,,,,,,,,
Sminthopsis crassicaudata,Fat-tailed Dunnart,ALA,11072,urn:lsid:biodiversity.org.au:afd.taxon:86ab9ebf-cbd1-49f8-9786-312407738477,Sminthopsis crassicaudata,Fat-tailed Dunnart,Base,600,Mammal,Mammals,Dasyurids,8660,0.1,3,1233,14.2%,3002,34.7%,669,22.29%,6,47,35,0,1,NT,"> 10,000",Widespread,Recent,okay,Medium,Both,,5,10,10,20.0,24689,Habitat,Species,No guild,,,Land,Sexual,Annual,brief,,K,Yes,No,No,Allozyme,Yes,Yes,Phylogeny,32,,,,,,,Yes,Redundant,Uncertain,Not expected,Uncertain,Uncertain,Low,Primary,,,,,,,,,,,,,,,,,,NT,,,,,,
Sminthopsis leucopus,White-footed Dunnart,ALA,11069,urn:lsid:biodiversity.org.au:afd.taxon:785a2287-9677-4fdd-828a-335a0334ec84,Sminthopsis leucopus,White-footed Dunnart,Base,601,Mammal,Mammals,Dasyurids,1200,0.1,3,757,63.1%,643,53.6%,484,75.27%,6,21,16,1,2,NT,2K to 10K,Vic + 1 state,Both,rapid,Modest,Both,,5,4,4,8.0,11041,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Phylogeny,1,,,,,,,Unknown,Uncertain,Uncertain,Fire,Uncertain,Uncertain,Low,Secondary,,,,,,,,,,,,,,,,,,NT,,Listed,,,,
Sminthopsis murina,Common Dunnart,ALA,11061,urn:lsid:biodiversity.org.au:afd.taxon:74a7b4ba-0627-4b44-b85e-1f087a637c54,Sminthopsis murina murina,Common Dunnart,Base,602,Mammal,Mammals,Dasyurids,4527,0.1,3,402,8.9%,2127,47.0%,44,2.07%,5,28,37,1,2,VU,"> 10,000",Widespread,Recent,down,Modest,Both,,5,4,4,8.0,9753,Habitat,Limited,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,Yes,No,No,None,No,Yes,Markers,3,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Uncertain,Low,Primary,,,"murina, tatei",,,,,,,,,,,,,,,VU,,,,,,
Tachyglossus aculeatus,Short-beaked Echidna,ALA,11003,urn:lsid:biodiversity.org.au:afd.taxon:0d4c9c0c-51d3-44e0-a365-fe0f8b791c66,Tachyglossus aculeatus,Short-beaked Echidna,Base,603,Mammal,Mammals,Monotremes,45861,0.1,3,9598,20.9%,31881,69.5%,7194,22.57%,8,80,56,4,5,OKAY,"> 10,000",Widespread,Both,okay,Modest,Both,,5,4,4,8.0,170635,Distance,Generic,No guild,,,Land,Sexual,> 20 yrs,xlong,,K,No,Yes,No,None,No,Yes,Markers,24,,,,,,,Possible,Redundant,High,Not expected,Yes,Uncertain,Not Expected,Low,,Echidna aculeatus,,,,,,,,,,,,,,,,,,,,,,
Trichosurus cunninghami,Mountain Brushtail Possum,ALA,11115,urn:lsid:biodiversity.org.au:afd.taxon:f2024309-4e07-4948-b4f1-0208dc7a3691,Trichosurus cunninghami,Mountain Brush-tailed Possum,Base,604,Mammal,Mammals,Possums,13254,0.1,3,8211,62.0%,7108,53.6%,5745,80.82%,4,13,21,0,1,OKAY,"> 10,000",Vic + 1 state,Both,okay,Modest,Both,,5,4,4,8.0,119997,Distance,Generic,No guild,,,Veg cover,Sexual,6 - 10 yr,mid,,K,No,Yes,No,None,No,Yes,Limited,13,Moderate,Low,High,Normal,Sample bias,Limited,Possible,Uncertain,High,Habitat loss,Uncertain,Yes,Low,Medium,,,,,Bobuck,,,,,,,,,,,,,,,,,,,
Trichosurus vulpecula,Common Brushtail Possum,ALA,11113,urn:lsid:biodiversity.org.au:afd.taxon:00b1b9a2-70c9-45be-8019-9c7fd755afc8,Trichosurus vulpecula,Common Brush-tailed Possum,Base,605,Mammal,Mammals,Possums,163595,0.1,3,21687,13.3%,excess,,,,,,,0,1,OKAY,"> 10,000",Widespread,Recent,okay,Medium,Both,,5,10,10,20.0,445526,Distance,Generic,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,K,No,Yes,No,None,No,Yes,Limited,114,Moderate,Low,High,Data def,Sample bias,Limited,Possible,Redundant,High,Not expected,Yes,Yes,Not Expected,Low,,,vulpecula,,,,,,,,,,,,,,,,,,,,,
Tursiops australis,Burrunan Dolphin ,ALA,11617,urn:lsid:biodiversity.org.au:afd.taxon:b36b602e-37e3-4e81-a8e7-e8e9de00c826,Tursiops australis,Burrunan Dolphin,Base,606,Mammal,Mammals,Dolphins,464,0.1,3,463,99.8%,249,53.7%,248,99.60%,1,,1,0,1,EN,2K to 10K,Widespread,Historical,unsure,High +,Both,,6,40,40,80.0,6483,Distance,HIM_Species,No guild,,,Water,Sexual,> 20 yrs,xlong,,K,Yes,Yes,No,None,No,Yes,Useful,8,Moderate,Data def,Moderate,Normal,,Reasonable,Possible,Medium,Uncertain,Multiple,No,Yes,Not Expected,Secondary,,Tursiops cf australis,,,,,,,,,,,,,,,,EN,,Listed,,,,
Vespadelus baverstocki,Inland Forest Bat,ALA,11819,urn:lsid:biodiversity.org.au:afd.taxon:cac5de82-dda4-45d7-b8c0-b13453b5dd6b,Vespadelus baverstocki,Inland Forest Bat,Base,607,Mammal,Mammals,Microbats,3158,0.1,3,80,2.5%,743,23.5%,37,4.98%,6,28,26,0,1,OKAY,"> 10,000",Minor in Vic,None,okay,High +,Both,,6,40,40,80.0,4198,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Possible,Redundant,High,Not expected,Uncertain,Uncertain,Not Expected,Low,,Eptesicus baverstocki,,,,,,,,,,,,,,,,,,,,,,
Vespadelus darlingtoni,Large Forest Bat,ALA,11381,urn:lsid:biodiversity.org.au:afd.taxon:afed9681-a273-41b6-95e5-9f11ad4bff71,Vespadelus darlingtoni,Large Forest Bat,Base,608,Mammal,Mammals,Microbats,14139,0.1,3,5420,38.3%,5450,38.5%,1886,34.61%,6,28,34,0,1,OKAY,"> 10,000",Widespread,Historical,down,Extensive,Both,,6,100,100,200.0,84599,Distance,Generic,No guild,,,Veg cover,Sexual,6 - 10 yr,mid,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Habitat loss,No,No,Not Expected,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Vespadelus regulus,Southern Forest Bat,ALA,11378,urn:lsid:biodiversity.org.au:afd.taxon:ef70e7c7-a3ca-4476-ac64-c2cbdc663562,Vespadelus regulus,Southern Forest Bat,Base,609,Mammal,Mammals,Microbats,12248,0.1,3,5737,46.8%,5010,40.9%,1812,36.17%,8,44,44,0,1,OKAY,"> 10,000",Widespread,Historical,okay,Extensive,Both,,6,100,100,200.0,86829,Distance,Generic,No guild,,,Flight,Sexual,2 - 5 yr,short,,K,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
